inventory_id,depot_id,item_code,item_name,item_category,quantity_in_stock,minimum_stock_level,maximum_stock_level,unit_cost_sar,supplier_name,last_restocked_date,expiry_date,batch_number,storage_location,condition,created_at
INV60063,DEP1,ITEM9741,Bulbs,Electrical,158,36,236,271.88,Shell Lubricants,2025-05-09T02:11:11,2027-12-07T02:11:11,BATCH-6154,Hazardous Storage,Poor,2025-10-04T21:14:53.704751
INV59078,DEP1,ITEM8776,Wiring Harness,Electrical,60,13,303,405.82,OEM Supplier,2025-05-10T03:46:16,,BATCH-5617,Hazardous Storage,Good,2025-10-04T21:14:53.704826
INV40510,DEP3,ITEM5076,Hydraulic Oil,Fluids,1118,105,1516,67.16,Shell Lubricants,2025-04-29T11:47:57,,BATCH-9107,Cold Storage,Poor,2025-10-04T21:14:53.704891
INV74505,DEP4,ITEM6726,Brake Discs,Brake System,163,10,217,381.88,Aramco Parts,2025-03-22T17:01:10,2027-12-26T17:01:10,BATCH-7139,Warehouse A,Fair,2025-10-04T21:14:53.704954
INV73689,DEP6,ITEM6022,Mirrors,Accessories,71,46,479,359.4,International Parts,2025-05-19T12:24:15,2027-04-09T12:24:15,BATCH-6479,Warehouse B,Poor,2025-10-04T21:14:53.705019
INV15046,DEP5,ITEM3604,Valve Stems,Tires,439,44,442,83.41,BP Components,2025-02-28T10:30:44,,BATCH-9424,Warehouse B,Good,2025-10-04T21:14:53.705080
INV60898,DEP2,ITEM1778,Brake Calipers,Brake System,58,36,425,92.52,Chevron Parts,2025-04-09T13:30:13,,BATCH-1163,Warehouse B,Good,2025-10-04T21:14:53.705138
INV35881,DEP3,ITEM4355,Brake Lines,Brake System,354,40,420,257.73,Scania Parts,2025-04-29T17:18:14,,BATCH-8202,Warehouse B,Fair,2025-10-04T21:14:53.705196
INV83494,DEP3,ITEM1827,Brake Lines,Brake System,297,33,416,218.24,MAN Parts,2025-03-24T20:45:21,2027-11-24T20:45:21,BATCH-1978,Warehouse A,Good,2025-10-04T21:14:53.705265
INV38381,DEP2,ITEM4080,Wiring Harness,Electrical,223,43,300,375.6,Volvo Parts,2025-03-28T10:26:39,2027-06-25T10:26:39,BATCH-6306,Warehouse A,Good,2025-10-04T21:14:53.705335
INV22382,DEP4,ITEM7616,Brake Pads,Brake System,70,48,349,484.13,Iveco Parts,2025-06-18T05:09:00,,BATCH-7048,Warehouse B,Poor,2025-10-04T21:14:53.705401
INV11645,DEP1,ITEM2594,Battery 12V,Electrical,49,41,388,542.42,Aramco Parts,2025-03-22T04:07:47,2026-06-08T04:07:47,BATCH-2590,Warehouse B,Good,2025-10-04T21:14:53.705479
INV89319,DEP1,ITEM6343,Transmission Fluid,Fluids,545,179,1367,15.58,International Parts,2025-05-23T07:31:37,,BATCH-6415,Hazardous Storage,Fair,2025-10-04T21:14:53.705588
INV26200,DEP1,ITEM5177,Tire 385/65R22.5,Tires,128,73,410,2314.72,MAN Parts,2025-04-06T05:06:07,2027-12-23T05:06:07,BATCH-1286,Hazardous Storage,Good,2025-10-04T21:14:53.705662
INV44153,DEP4,ITEM2796,Transmission Fluid,Fluids,251,190,1961,18.67,International Parts,2025-02-08T01:54:20,2026-06-20T01:54:20,BATCH-9830,Warehouse A,Fair,2025-10-04T21:14:53.705725
INV23354,DEP1,ITEM3338,Battery 12V,Electrical,160,40,180,321.11,Chevron Parts,2025-02-08T11:39:32,2027-04-19T11:39:32,BATCH-5680,Warehouse B,Good,2025-10-04T21:14:53.705787
INV33517,DEP4,ITEM1589,Starter Motor,Electrical,232,36,433,178.5,Aftermarket Parts,2025-05-06T23:57:40,,BATCH-9769,Hazardous Storage,Good,2025-10-04T21:14:53.705846
INV86094,DEP1,ITEM9099,Mirrors,Accessories,69,45,463,346.82,Mercedes Parts,2025-06-15T14:30:05,2027-12-14T14:30:05,BATCH-1602,Hazardous Storage,Good,2025-10-04T21:14:53.705905
INV63950,DEP4,ITEM3305,Tool Kit,Accessories,229,23,410,408.01,Aramco Parts,2025-06-26T03:06:29,,BATCH-7581,Hazardous Storage,Fair,2025-10-04T21:14:53.705970
INV57350,DEP3,ITEM3540,Brake Discs,Brake System,109,39,131,376.69,Volvo Parts,2025-06-12T16:52:39,,BATCH-8104,Hazardous Storage,Good,2025-10-04T21:14:53.706029
INV64394,DEP2,ITEM7696,Coolant,Fluids,148,30,263,170.3,OEM Supplier,2025-02-27T17:21:11,,BATCH-1962,Warehouse A,Poor,2025-10-04T21:14:53.706091
INV71872,DEP2,ITEM6348,Coolant,Fluids,87,35,443,136.93,Scania Parts,2025-03-30T06:50:38,2026-07-30T06:50:38,BATCH-1187,Warehouse A,Good,2025-10-04T21:14:53.706158
INV82108,DEP6,ITEM9507,Wiper Blades,Accessories,233,20,233,470.99,Volvo Parts,2025-04-12T13:11:37,2027-11-14T13:11:37,BATCH-4485,Warehouse A,Good,2025-10-04T21:14:53.706226
INV85150,DEP4,ITEM7521,Alternator,Electrical,51,23,135,120.99,BP Components,2025-06-04T11:29:39,,BATCH-2022,Cold Storage,Good,2025-10-04T21:14:53.706285
INV70224,DEP5,ITEM7212,Mirrors,Accessories,95,31,352,102.97,Chevron Parts,2025-06-12T15:37:52,2027-03-19T15:37:52,BATCH-4393,Warehouse A,Good,2025-10-04T21:14:53.706344
INV47776,DEP3,ITEM6232,Coolant,Fluids,42,18,128,313.38,OEM Supplier,2025-03-16T05:47:59,2027-03-29T05:47:59,BATCH-6075,Warehouse A,Good,2025-10-04T21:14:53.706405
INV88689,DEP2,ITEM7589,Floor Mats,Accessories,165,23,217,377.23,Aramco Parts,2025-02-22T10:01:42,,BATCH-6391,Cold Storage,Fair,2025-10-04T21:14:53.706463
INV53947,DEP3,ITEM7580,Grease,Fluids,14,13,166,279.31,International Parts,2025-05-06T02:06:56,,BATCH-2188,Cold Storage,Good,2025-10-04T21:14:53.706520
INV66433,DEP3,ITEM3883,Tire 385/65R22.5,Tires,415,91,783,2378.37,Chevron Parts,2025-03-13T13:42:26,,BATCH-2350,Hazardous Storage,Good,2025-10-04T21:14:53.706584
INV86811,DEP5,ITEM6374,Bulbs,Electrical,211,29,404,31.4,Aramco Parts,2025-04-19T13:18:42,2027-02-12T13:18:42,BATCH-9007,Warehouse B,Good,2025-10-04T21:14:53.706649
INV26856,DEP5,ITEM3160,Brake Pads,Brake System,228,48,456,30.61,Volvo Parts,2025-03-04T04:54:15,,BATCH-8062,Warehouse B,Poor,2025-10-04T21:14:53.706707
INV78615,DEP2,ITEM1164,Coolant,Fluids,120,33,141,470.97,Total Oil,2025-04-03T12:51:08,,BATCH-4436,Warehouse A,Good,2025-10-04T21:14:53.706764
INV87282,DEP3,ITEM3972,Brake Pads,Brake System,160,40,345,376.75,Mercedes Parts,2025-05-01T07:49:26,2027-09-29T07:49:26,BATCH-9297,Cold Storage,Fair,2025-10-04T21:14:53.706823
INV55198,DEP5,ITEM1075,Inner Tube,Tires,107,42,108,357.57,Total Oil,2025-05-08T12:52:53,,BATCH-9227,Warehouse B,Poor,2025-10-04T21:14:53.706880
