metrics_id,date,vehicle_id,driver_id,depot_id,route_id,total_distance_km,total_fuel_consumed_liters,average_fuel_efficiency,total_delivery_time_hours,on_time_delivery_rate,accidents_count,violations_count,safety_score,total_fuel_cost_sar,maintenance_cost_sar,total_operating_cost_sar,customer_satisfaction_score,delivery_success_rate,complaint_count,co2_emissions_kg,fuel_waste_liters,environmental_score,created_at,warehouse_id,supplier_id,inventory_turnover,stock_accuracy_percent,stockout_incidents,overstock_value_sar,order_fulfillment_rate,average_order_cycle_time_days,order_accuracy_rate,supplier_performance_score,supplier_reliability_percent,cost_savings_sar,transportation_cost_sar,fuel_efficiency_km_per_liter,route_optimization_savings_sar,defect_rate_percent,return_rate_percent,carbon_footprint_kg_co2,waste_reduction_percent,sustainability_score
PERF35366,2025-03-02T00:20:36,ALD3003,DRV7793,DEP3,RT65779,968.99,106.13,9.13,19.07,0.883,0.0,0.0,5.0,252.92,886.99,1556.37,4.4,0.952,1.0,284.43,4.86,3.7,2025-10-04T21:14:57.571296,,,,,,,,,,,,,,,,,,,,
PERF32556,2025-05-19T21:28:24,ALD7573,DRV9220,DEP2,RT22876,1326.84,163.2,8.13,18.77,0.958,1.0,1.0,4.0,407.5,2330.51,3278.8,4.8,0.959,0.0,437.38,9.35,4.9,2025-10-04T21:14:57.571392,,,,,,,,,,,,,,,,,,,,
PERF89179,2025-02-16T00:57:03,ALD3351,DRV2123,DEP2,RT27664,958.04,140.68,6.81,20.57,0.967,0.0,0.0,5.0,390.05,524.64,1280.04,4.8,0.934,0.0,377.02,5.36,4.8,2025-10-04T21:14:57.571466,,,,,,,,,,,,,,,,,,,,
PERF75249,2025-02-23T11:47:19,ALD6489,DRV6662,DEP1,RT83597,315.95,34.87,9.06,5.17,0.853,1.0,0.0,4.2,74.38,411.19,722.34,4.7,0.922,0.0,93.45,0.76,3.6,2025-10-04T21:14:57.571535,,,,,,,,,,,,,,,,,,,,
PERF70430,2025-03-31T04:32:26,ALD8675,DRV3169,DEP1,RT23800,1016.54,165.56,6.14,20.73,0.903,0.0,2.0,4.6,401.64,659.63,1298.13,4.3,0.986,0.0,443.7,10.03,4.5,2025-10-04T21:14:57.571605,,,,,,,,,,,,,,,,,,,,
PERF56874,2025-04-07T20:13:57,ALD1534,DRV3415,DEP4,RT83237,999.62,145.51,6.87,13.66,0.896,0.0,1.0,4.8,336.76,1687.85,2799.47,4.3,0.933,0.0,389.97,3.09,4.0,2025-10-04T21:14:57.571683,,,,,,,,,,,,,,,,,,,,
PERF90738,2025-06-05T07:19:29,ALD7543,DRV4882,DEP5,RT10663,353.43,35.45,9.97,5.26,0.939,0.0,0.0,5.0,82.73,533.32,1135.25,4.3,0.966,0.0,95.01,1.47,4.5,2025-10-04T21:14:57.571751,,,,,,,,,,,,,,,,,,,,
PERF33382,2025-03-23T21:40:12,ALD6106,DRV4785,DEP4,RT39958,1221.85,160.77,7.6,22.92,0.974,0.0,0.0,5.0,444.17,1620.39,2559.73,4.3,0.935,0.0,430.86,12.05,4.8,2025-10-04T21:14:57.571816,,,,,,,,,,,,,,,,,,,,
PERF54179,2025-05-25T02:40:41,ALD2370,DRV3722,DEP5,RT89801,413.2,45.51,9.08,7.31,0.957,0.0,3.0,4.4,97.09,408.4,1100.28,4.6,0.921,2.0,121.97,2.3,3.7,2025-10-04T21:14:57.571883,,,,,,,,,,,,,,,,,,,,
PERF24649,2025-03-09T22:15:31,ALD4697,DRV8235,DEP2,RT59206,907.11,78.06,11.62,13.59,0.85,0.0,0.0,5.0,209.52,1119.28,2073.49,5.0,0.928,0.0,209.2,1.6,4.7,2025-10-04T21:14:57.571955,,,,,,,,,,,,,,,,,,,,
PERF59274,2025-05-20T15:24:56,ALD3381,DRV6179,DEP6,RT66584,458.8,49.82,9.21,8.03,0.866,0.0,0.0,5.0,107.29,521.12,862.09,4.6,0.949,0.0,133.52,3.13,4.0,2025-10-04T21:14:57.572021,,,,,,,,,,,,,,,,,,,,
PERF29401,2025-02-16T12:42:36,ALD2992,DRV2521,DEP3,RT38064,1372.68,203.96,6.73,22.73,0.871,0.0,5.0,4.0,490.43,1291.29,2489.52,4.9,0.929,0.0,546.61,11.57,4.4,2025-10-04T21:14:57.572087,,,,,,,,,,,,,,,,,,,,
PERF42678,2025-04-17T13:27:22,ALD7902,DRV8506,DEP6,RT97278,990.93,118.53,8.36,15.04,0.852,0.0,1.0,4.8,269.65,1329.74,1896.79,4.2,0.961,0.0,317.66,8.14,4.0,2025-10-04T21:14:57.572154,,,,,,,,,,,,,,,,,,,,
PERF82268,2025-05-09T20:38:34,ALD4346,DRV5165,DEP2,RT91273,1156.23,114.03,10.14,17.74,0.853,0.0,0.0,5.0,316.42,1291.75,1891.67,4.6,0.976,0.0,305.6,5.68,4.1,2025-10-04T21:14:57.572218,,,,,,,,,,,,,,,,,,,,
PERF68371,2025-03-23T08:30:03,ALD1540,DRV6780,DEP1,RT13294,1444.86,128.55,11.24,20.25,0.851,0.0,0.0,5.0,331.77,1572.41,2592.8,4.2,0.96,0.0,344.51,3.02,3.7,2025-10-04T21:14:57.572282,,,,,,,,,,,,,,,,,,,,
PERF29557,2025-05-22T00:54:58,ALD2125,DRV9107,DEP2,RT85801,1116.27,157.89,7.07,15.17,0.925,0.0,0.0,5.0,401.15,1561.73,2574.46,4.5,0.97,0.0,423.15,10.39,4.1,2025-10-04T21:14:57.572346,,,,,,,,,,,,,,,,,,,,
PERF51455,2025-02-27T01:21:33,ALD9132,DRV9958,DEP1,RT67882,839.4,138.74,6.05,12.34,0.962,0.0,0.0,5.0,367.5,1625.92,2352.15,4.7,0.967,0.0,371.82,10.68,4.0,2025-10-04T21:14:57.572415,,,,,,,,,,,,,,,,,,,,
PERF35462,2025-04-26T10:38:47,ALD1237,DRV6518,DEP3,RT54254,329.26,43.38,7.59,6.84,0.884,0.0,0.0,5.0,97.08,356.96,870.44,4.3,0.925,0.0,116.26,1.79,4.7,2025-10-04T21:14:57.572480,,,,,,,,,,,,,,,,,,,,
PERF74330,2025-02-02T19:24:44,ALD5091,DRV5511,DEP2,RT35194,1181.63,119.96,9.85,18.54,0.95,0.0,0.0,5.0,324.07,2208.2,3282.56,4.6,0.973,0.0,321.49,4.9,4.1,2025-10-04T21:14:57.572549,,,,,,,,,,,,,,,,,,,,
PERF76366,2025-03-13T11:11:02,ALD4519,DRV4990,DEP2,RT98722,995.73,160.86,6.19,20.05,0.874,0.0,0.0,5.0,341.93,1047.44,1656.45,4.7,0.93,0.0,431.1,10.89,4.3,2025-10-04T21:14:57.572616,,,,,,,,,,,,,,,,,,,,
PERF92953,2025-06-06T13:07:09,ALD3013,DRV6347,DEP2,RT91157,380.26,33.89,11.22,5.23,0.879,0.0,0.0,5.0,82.38,731.0,1519.4,4.1,0.932,1.0,90.83,0.83,3.9,2025-10-04T21:14:57.572683,,,,,,,,,,,,,,,,,,,,
PERF15625,2025-06-17T23:51:48,ALD3210,DRV2244,DEP5,RT53185,1015.06,142.17,7.14,14.22,0.963,0.0,0.0,5.0,299.25,1890.68,2704.19,5.0,0.99,0.0,381.02,8.63,4.8,2025-10-04T21:14:57.572750,,,,,,,,,,,,,,,,,,,,
