schedule_id,customer_id,vehicle_id,driver_id,scheduled_date,scheduled_time,delivery_window_start,delivery_window_end,priority_level,delivery_type,estimated_duration_hours,special_requirements,status,created_at
SCH54011,CUST5417,ALD3550,DRV3339,2025-04-14T18:58:30,18:58,12:00,16:00,Medium,Bulk,9.21,['Standard Delivery'],Completed,2025-10-04T21:14:53.921944
SCH39876,CUST7299,ALD7107,DRV1738,2025-04-17T01:41:36,01:41,08:00,12:00,Medium,Standard,6.94,['Standard Delivery'],Completed,2025-10-04T21:14:53.922034
SCH69784,CUST2549,ALD7707,DRV3648,2025-06-23T13:48:33,13:48,16:00,20:00,Medium,Emergency,0.93,['Standard Delivery'],In Progress,2025-10-04T21:14:53.922113
SCH51779,CUST1663,ALD1644,DRV9988,2025-06-15T21:51:39,21:51,12:00,16:00,High,Express,3.83,['Express Delivery'],Scheduled,2025-10-04T21:14:53.922187
SCH19923,CUST9836,ALD7305,DRV4473,2025-05-20T22:38:24,22:38,16:00,20:00,Low,Refrigerated,4.23,"['Temperature Control', 'Hazardous Materials']",Cancelled,2025-10-04T21:14:53.922261
SCH75486,CUST3747,ALD4068,DRV1861,2025-05-30T18:46:50,18:46,20:00,24:00,High,Express,1.2,"['Hazardous Materials', 'Express Delivery']",In Progress,2025-10-04T21:14:53.922336
SCH93212,CUST1379,ALD2895,DRV6043,2025-06-29T08:15:14,08:15,08:00,12:00,Medium,Express,2.02,['Express Delivery'],Cancelled,2025-10-04T21:14:53.922407
SCH42817,CUST2440,ALD3394,DRV1179,2025-04-20T07:31:32,07:31,08:00,12:00,Medium,Scheduled,2.72,['Standard Delivery'],Cancelled,2025-10-04T21:14:53.922505
SCH47558,CUST5435,ALD3389,DRV6318,2025-03-05T07:02:06,07:02,20:00,24:00,Low,Standard,6.29,"['Hazardous Materials', 'Fragile Handling']",Cancelled,2025-10-04T21:14:53.922611
SCH35327,CUST2038,ALD8455,DRV9903,2025-04-12T06:18:06,06:18,12:00,16:00,Low,Refrigerated,2.08,['Temperature Control'],In Progress,2025-10-04T21:14:53.922690
SCH65766,CUST4422,ALD7143,DRV1201,2025-05-24T18:57:09,18:57,08:00,12:00,Medium,Refrigerated,7.38,['Temperature Control'],Scheduled,2025-10-04T21:14:53.922768
SCH81767,CUST1361,ALD8418,DRV1326,2025-02-22T20:54:15,20:54,08:00,12:00,Medium,Express,3.65,['Express Delivery'],Scheduled,2025-10-04T21:14:53.922844
SCH96515,CUST4250,ALD4376,DRV7403,2025-04-18T19:09:31,19:09,08:00,12:00,Medium,Scheduled,7.79,['Standard Delivery'],Cancelled,2025-10-04T21:14:53.922915
SCH79046,CUST2905,ALD6984,DRV5038,2025-06-07T15:29:27,15:29,08:00,12:00,Medium,Refrigerated,5.45,['Temperature Control'],Scheduled,2025-10-04T21:14:53.922986
SCH77854,CUST1923,ALD6443,DRV7911,2025-03-05T16:41:57,16:41,08:00,12:00,Medium,Express,3.21,['Express Delivery'],Scheduled,2025-10-04T21:14:53.923055
SCH63717,CUST4658,ALD3611,DRV3347,2025-04-01T16:50:51,16:50,12:00,16:00,Medium,Standard,5.58,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.923125
SCH88830,CUST3168,ALD8826,DRV6764,2025-04-18T20:17:13,20:17,08:00,12:00,Medium,Scheduled,2.92,['Hazardous Materials'],Cancelled,2025-10-04T21:14:53.923196
SCH25161,CUST3286,ALD5411,DRV2261,2025-03-21T02:55:20,02:55,16:00,20:00,High,Standard,2.55,['Standard Delivery'],Completed,2025-10-04T21:14:53.923265
SCH25074,CUST5024,ALD3249,DRV5175,2025-05-21T01:15:02,01:15,20:00,24:00,Medium,Refrigerated,3.81,"['Temperature Control', 'Hazardous Materials']",Scheduled,2025-10-04T21:14:53.923341
SCH75514,CUST9567,ALD8132,DRV7323,2025-04-14T00:15:07,00:15,12:00,16:00,Medium,Emergency,1.53,['Standard Delivery'],Completed,2025-10-04T21:14:53.923414
SCH26646,CUST5251,ALD7118,DRV8049,2025-06-24T14:01:36,14:01,20:00,24:00,Medium,Standard,6.56,['Standard Delivery'],Cancelled,2025-10-04T21:14:53.923478
SCH48567,CUST7629,ALD3544,DRV7666,2025-04-08T10:32:03,10:32,08:00,12:00,Medium,Express,1.38,['Express Delivery'],Cancelled,2025-10-04T21:14:53.923542
SCH45302,CUST3365,ALD4695,DRV9474,2025-02-04T04:08:35,04:08,12:00,16:00,Medium,Bulk,7.83,['Standard Delivery'],In Progress,2025-10-04T21:14:53.923606
SCH71344,CUST6540,ALD8282,DRV2318,2025-04-19T07:32:53,07:32,16:00,20:00,Medium,Express,1.8,['Express Delivery'],Scheduled,2025-10-04T21:14:53.923670
SCH37929,CUST9184,ALD2990,DRV5298,2025-06-20T08:49:09,08:49,20:00,24:00,High,Refrigerated,6.32,['Temperature Control'],Scheduled,2025-10-04T21:14:53.923733
SCH16968,CUST1274,ALD7337,DRV2393,2025-05-01T12:34:44,12:34,12:00,16:00,Low,Express,1.52,"['Hazardous Materials', 'Express Delivery']",Scheduled,2025-10-04T21:14:53.923797
SCH32405,CUST6320,ALD9463,DRV9110,2025-02-12T18:06:11,18:06,08:00,12:00,Medium,Scheduled,2.58,['Standard Delivery'],In Progress,2025-10-04T21:14:53.923860
SCH74928,CUST7496,ALD6412,DRV1075,2025-05-03T15:14:42,15:14,12:00,16:00,Low,Express,1.92,"['Fragile Handling', 'Express Delivery']",Scheduled,2025-10-04T21:14:53.923924
SCH57748,CUST5606,ALD8420,DRV3068,2025-06-20T13:24:53,13:24,20:00,24:00,Medium,Refrigerated,4.2,['Temperature Control'],Scheduled,2025-10-04T21:14:53.923993
SCH81778,CUST3889,ALD2934,DRV7132,2025-06-25T22:01:59,22:01,16:00,20:00,Low,Standard,3.76,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.924059
SCH11142,CUST6697,ALD4312,DRV8900,2025-03-20T11:11:54,11:11,08:00,12:00,Low,Refrigerated,7.61,['Temperature Control'],Completed,2025-10-04T21:14:53.924124
SCH86816,CUST5808,ALD5948,DRV6847,2025-02-24T04:54:48,04:54,16:00,20:00,Medium,Refrigerated,4.65,"['Temperature Control', 'Hazardous Materials']",In Progress,2025-10-04T21:14:53.924189
SCH74138,CUST1200,ALD2529,DRV8757,2025-02-21T16:25:44,16:25,20:00,24:00,Medium,Scheduled,4.74,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.924272
SCH10748,CUST1465,ALD5158,DRV9152,2025-04-15T10:31:52,10:31,08:00,12:00,Low,Refrigerated,4.35,['Temperature Control'],Scheduled,2025-10-04T21:14:53.924343
SCH66489,CUST7654,ALD4824,DRV7839,2025-05-02T07:46:28,07:46,20:00,24:00,Medium,Standard,5.66,['Standard Delivery'],Completed,2025-10-04T21:14:53.924413
SCH44591,CUST1289,ALD1927,DRV1389,2025-05-21T21:34:51,21:34,12:00,16:00,Low,Bulk,5.04,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.924482
SCH58230,CUST4650,ALD7758,DRV6679,2025-06-02T05:30:28,05:30,12:00,16:00,High,Standard,3.39,['Standard Delivery'],Cancelled,2025-10-04T21:14:53.924556
SCH53673,CUST7366,ALD3684,DRV1819,2025-04-29T19:59:10,19:59,08:00,12:00,Low,Standard,6.6,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.924620
SCH18079,CUST3192,ALD8456,DRV5228,2025-05-29T18:39:32,18:39,12:00,16:00,Low,Emergency,0.84,['Standard Delivery'],In Progress,2025-10-04T21:14:53.924701
SCH84791,CUST1633,ALD8244,DRV6378,2025-03-12T19:01:28,19:01,16:00,20:00,Low,Emergency,1.19,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.924775
SCH45109,CUST5155,ALD7477,DRV8504,2025-04-07T12:38:54,12:38,12:00,16:00,Medium,Bulk,4.94,['Hazardous Materials'],In Progress,2025-10-04T21:14:53.924845
